Bip,Sch
211582_x_at,211582_x_at
205984_at,220691_at
221780_s_at,221780_s_at
204493_at,205984_at
210639_s_at,204493_at
220691_at,210639_s_at
205404_at,205404_at
216334_s_at,215219_at
215516_at,208245_at
AFFX-ThrX-5_at,210506_at
208538_at,220418_at
206488_s_at,220622_at
201882_x_at,214565_s_at
205699_at,214244_s_at
218186_at,207899_at
207656_s_at,216373_at
220876_at,217166_at
220766_at,206925_at
216498_at,208601_s_at
215943_at,211904_x_at
215653_at,220433_at
202608_s_at,217380_s_at
216905_s_at,211794_at
221380_at,217536_x_at
209821_at,215814_at
212769_at,213680_at
213098_at,215663_at
204014_at,214379_at
214826_at,202489_s_at
214441_at,204047_s_at
209035_at,218454_at
47105_at,207757_at
209698_at,219699_at
206102_at,209788_s_at
220082_at,203676_at
211966_at,209156_s_at
217617_at,204863_s_at
207571_x_at,218411_s_at
215977_x_at,214283_at
220323_at,203168_at
206721_at,216652_s_at
221581_s_at,221967_at
213523_at,201219_at
47530_at,222217_s_at
212589_at,52741_at
210127_at,221715_at
209542_x_at,220641_at
207172_s_at,219731_at
219231_at,218075_at
214785_at,219869_s_at
208893_s_at,204557_s_at
207180_s_at,210210_at
219260_s_at,219530_at
220335_x_at,219324_at
214686_at,221966_at
216375_s_at,204391_x_at
221249_s_at,209015_s_at
201354_s_at,204880_at
202414_at,211799_x_at
201363_s_at,204846_at
208894_at,206989_s_at
209688_s_at,209959_at
202867_s_at,222273_at
217981_s_at,212238_at
205695_at,202688_at
216457_s_at,209523_at
219377_at,201866_s_at
,202479_s_at
,217863_at
,205726_at
,213900_at
,203874_s_at
,217961_at
,203851_at
,209735_at
